chroma_stft_min,chroma_stft_max,chroma_cqt_min,chroma_cqt_max,chroma_cens_min,chroma_cens_max,melspectogram_min,melspectogram_max,mfcc_min,mfcc_max,rms_min,rms_max,spectral_centroid_min,spectral_centroid_max,spectral_bandwidth_min,spectral_bandwidth_max,spectral_contrast_min,spectral_contrast_max,spectral_flatness_min,spectral_flatness_max,spectral_rolloff_min,spectral_rolloff_max,poly_features_min,poly_features_max,tonnetz_min,tonnetz_max,zero_crossing_rate_min,zero_crossing_rate_max,tempogram_min,tempogram_max,mfcc_min,mfcc_max,mel_to_stft_min,mel_to_stft_max,class,song
0.00046520267,1.0,0.015499922,1.0,0.0,0.8966728362591624,4.6329455e-06,8115.6733,-179.931,152.82954,0.083831586,0.61315525,867.3323586182601,6848.012818405625,1507.2438917258203,3820.4623184205734,5.654227895024825,48.4907204448937,0.00038301697,0.26564276,1636.5234375,9905.2734375,0.700718631625353,7.543665412431807,-0.6328990496695044,0.6520739775151013,0.017578125,0.5107421875,-3.4063041511302267e-16,1.0,-22.53457,24.518091,0.0,19.284609,0,Sai Aaye Ghar Mere_shortened.wav
0.0009946282,1.0,0.055937015,1.0,0.015298122253700211,0.711400497848952,4.6663556e-07,911.08636,-205.9167,153.3341,0.04228054,0.24839577,1338.2233907929124,5594.445757425241,1472.758596804776,3646.210581301782,4.7871636638254955,46.164307370712756,0.00046219587,0.2498959,1776.4892578125,9087.01171875,0.34606050259146626,3.660379372606984,-0.362851962447167,0.37690646850782406,0.044921875,0.3935546875,-2.902552381940327e-16,1.0,-24.84063,25.185534,0.0,10.810534,0,Sai Baba De Kol_shortened.wav
0.0026058978,1.0,0.045406662,1.0,0.0,0.7482254511751242,1.7532004e-06,4857.339,-153.78363,138.30722,0.08440352,0.4848777,1387.8530402019635,6071.4134269602955,1746.5319366379142,3764.37243729455,5.856314785578529,50.73894578493467,0.000989981,0.227322,2939.2822265625,9689.94140625,0.7030186932487908,5.563247199566898,-0.41751727069813266,0.4829665570107913,0.0234375,0.501953125,-3.0604973698973234e-16,1.0,-22.603357,29.282093,0.0,17.607744,0,Sai Baba Humko_shortened.wav
0.0014470287,1.0,0.041262623,1.0,0.0,0.7827579982294718,3.1108146e-07,3757.0784,-194.9471,146.71315,0.042954423,0.46123025,1028.562600571124,3890.4405620561074,1688.6252735756275,3307.4082727616014,4.377827690923805,52.803659593220004,0.00066572736,0.15865822,2121.0205078125,7978.0517578125,0.40592507710938014,4.6218144385844875,-0.5263378597300932,0.4753621090203519,0.0205078125,0.2255859375,-3.0218844808871715e-16,1.0,-23.918428,24.815857,0.0,15.681977,0,Sai Baba Ji Kar Do_shortened.wav
0.0021574618,1.0,0.04059621,1.0,0.0011980797423838385,0.7178029484712635,5.2091636e-06,4824.614,-189.73987,157.58157,0.07586154,0.49310762,1002.9303576300539,5079.300643263193,1569.476851483258,3636.4173644127263,5.461155734635286,51.3993541328531,0.00041714226,0.21520096,2153.3203125,9140.8447265625,0.6038969435357231,4.61866994581479,-0.3829577298911236,0.4706779532134531,0.02001953125,0.32861328125,-3.9763930407181967e-16,1.0,-19.628017,24.007666,0.0,16.976337,0,Sai Baba Mujhe Gale Se_shortened.wav
0.0008597468,1.0,0.04170738,1.0,0.0,0.7096474207038589,8.268812e-09,2402.116,-260.2539,161.11697,0.03492058,0.35665616,1104.765087281259,6614.611127492441,1763.9100346401426,3825.3211804177117,5.960329389660119,50.88260353311915,0.0005635024,0.27809277,1561.1572265625,9840.673828125,0.29945365002210217,4.900594443809239,-0.4715251140296463,0.39719933085143533,0.0244140625,0.4970703125,-3.818599010368157e-16,1.0,-20.292685,26.561895,0.0,13.881448,0,Sai Baba Sai_shortened.wav
0.00050193566,1.0,0.018060517,1.0,0.0,0.9384675176933842,4.1569783e-07,3561.7964,-179.8293,148.07855,0.050179567,0.46805874,1042.9247215624348,6308.204893677887,1674.6363895261616,3758.801515130996,4.440509755178181,61.02039195910969,0.00028035283,0.16677059,1884.1552734375,9173.14453125,0.5220544862630844,5.8786518120310784,-0.622455086672931,0.6699712239205835,0.0087890625,0.568359375,-3.526953339543782e-16,1.0,-26.556185,27.317863,0.0,15.445598,0,Sai Bin Kaun_shortened.wav
0.0044694114,1.0,0.062224627,1.0,0.03296930079503943,0.6752971553450676,9.938318e-07,5131.969,-170.08572,138.81421,0.048948895,0.41069275,1480.6693759863986,5454.623647276501,1413.687289359542,3630.640953895768,4.9145774615761395,47.53233071169902,0.00056505256,0.20942555,2734.716796875,9291.5771484375,0.5176246857104065,5.116467122636087,-0.45305759725725214,0.37411380186676957,0.04443359375,0.36767578125,-4.16772912291151e-16,1.0,-24.55105,26.720816,0.0,17.468416,0,Sai Bol Shiv Sai Bol_shortened.wav
0.0023722153,1.0,0.05004338,1.0,0.0,0.7722071157921314,4.7168165e-11,3642.285,-183.58269,175.26111,0.07265706,0.45627332,854.8704456360807,5363.7274546385,1383.7699001372641,3782.9537085537527,6.901002180330018,61.814257717789175,2.8179025e-05,0.202463,1335.05859375,9313.1103515625,0.4844643581551554,4.731011288960507,-0.45887982100248376,0.45623109883558177,0.01708984375,0.34033203125,-3.811409019366069e-16,1.0,-27.103167,24.007399,0.0,16.027756,0,Sai Dhyan Mantra_shortened.wav
0.002392322,1.0,0.0286542,1.0,0.0,0.7235353742962921,1.578207e-05,3158.4846,-203.84804,133.96724,0.04163819,0.41002065,1025.9542700250597,5784.634760474039,1928.8483911396806,4048.7037208345855,4.060697091270168,50.326826358158044,0.00028448913,0.27114406,1442.724609375,9991.40625,0.41693281893459366,3.454541134831421,-0.39110830985009726,0.3668425157666202,0.01171875,0.43701171875,-3.1647848951956487e-16,1.0,-26.988852,27.65894,0.0,14.8451805,0,Sai Hamara Haath Pakdo_shortened.wav
